title;platform;score_phrase;score;genre;editors_choice;release_year
LittleBigPlanet PS Vita;PlayStation Vita;Amazing;9;Platformer;Y;2012
LittleBigPlanet PS Vita -- Marvel Super Hero Edition;PlayStation Vita;Amazing;9;Platformer;Y;2012
Splice: Tree of Life;iPad;Great;8.5;Puzzle;N;2012
NHL 13;Xbox 360;Great;8.5;Sports;N;2012
NHL 13;PlayStation 3;Great;8.5;Sports;N;2012
Total War Battles: Shogun;Macintosh;Good;7;Strategy;N;2012
Double Dragon: Neon;Xbox 360;Awful;3;Fighting;N;2012
Guild Wars 2;PC;Amazing;9;RPG;Y;2012
Double Dragon: Neon;PlayStation 3;Awful;3;Fighting;N;2012
Total War Battles: Shogun;PC;Good;7;Strategy;N;2012
Tekken Tag Tournament 2;PlayStation 3;Good;7.5;Fighting;N;2012
Tekken Tag Tournament 2;Xbox 360;Good;7.5;Fighting;N;2012
Wild Blood;iPhone;Good;7;;N;2012
Mark of the Ninja;Xbox 360;Amazing;9;Action/Adventure;Y;2012
Mark of the Ninja;PC;Amazing;9;Action/Adventure;Y;2012
Home: A Unique Horror Adventure;Macintosh;Okay;6.5;Adventure;N;2012
Home: A Unique Horror Adventure;PC;Okay;6.5;Adventure;N;2012
Avengers Initiative;iPhone;Great;8;Action;N;2012
Way of the Samurai 4;PlayStation 3;Mediocre;5.5;Action/Adventure;N;2012
JoJo's Bizarre Adventure HD;Xbox 360;Good;7;Fighting;N;2012
JoJo's Bizarre Adventure HD;PlayStation 3;Good;7;Fighting;N;2012
Mass Effect 3: Leviathan;Xbox 360;Good;7.5;RPG;N;2012
Mass Effect 3: Leviathan;PlayStation 3;Good;7.5;RPG;N;2012
Mass Effect 3: Leviathan;PC;Good;7.5;RPG;N;2012
Dark Souls (Prepare to Die Edition);PC;Amazing;9;Action/RPG;Y;2012
Symphony;PC;Good;7;Shooter;N;2012
Bastion;iPad;Amazing;9;Action/RPG;Y;2012
Tom Clancy's Ghost Recon Phantoms;PC;Good;7.5;Shooter;N;2012
Thirty Flights of Loving;PC;Great;8;Adventure;N;2012
Legasista;PlayStation 3;Okay;6.5;Action/RPG;N;2012
The Walking Dead: The Game -- Episode 3: Long Road Ahead;Macintosh;Amazing;9;Adventure;Y;2012
World of Warcraft: Mists of Pandaria;PC;Great;8.7;RPG;Y;2012
Hell Yeah! Wrath of the Dead Rabbit;PlayStation 3;Bad;4.9;Platformer;N;2012
Pokemon White Version 2;Nintendo DS;Amazing;9.6;RPG;Y;2012
